Date,Actual,Holiday
2013-07-14,0,
2013-07-15,856.681,
2013-07-16,529.074,
2013-07-17,618.652,
2013-07-18,480.186,
2013-07-19,549,
2013-07-20,78.394,
2013-07-21,0,
2013-07-22,738.858,
2013-07-23,565.17,
2013-07-24,616.641,
2013-07-25,569.498,
2013-07-26,540.929,
2013-07-27,51.887,
2013-07-28,0,
2013-07-29,699.957,
2013-07-30,575.195,
2013-07-31,0,
2013-08-01,556.594,
2013-08-02,443.249,
2013-08-03,56.439,
2013-08-04,0,
2013-08-05,651.624,
2013-08-06,574.76,
2013-08-07,702.608,
2013-08-08,646.607,
2013-08-09,599.85,
2013-08-10,89.479,
2013-08-11,0,
2013-08-12,905.984,
2013-08-13,676.552,
2013-08-14,742.627,
2013-08-15,753.983,
2013-08-16,696.575,
2013-08-17,108.964,
2013-08-18,0,
2013-08-19,1018.48,
2013-08-20,707.001,
2013-08-21,703.721,
2013-08-22,632.603,
2013-08-23,625.307,
2013-08-24,94.791,
2013-08-25,0,
2013-08-26,838.502,
2013-08-27,699.251,
2013-08-28,696.027,
2013-08-29,582.368,
2013-08-30,547.843,
2013-08-31,0,
2013-09-01,0,
2013-09-02,836.612,
2013-09-03,557.492,
2013-09-04,566.064,
2013-09-05,628.138,
2013-09-06,540.875,
2013-09-07,25.254,
2013-09-08,0,
2013-09-09,815.205,
2013-09-10,705.847,
2013-09-11,579.694,
2013-09-12,551.17,
2013-09-13,561.321,
2013-09-14,74.942,
2013-09-15,0,
2013-09-16,771.821,
2013-09-17,576.466,
2013-09-18,776.267,
2013-09-19,657.242,
2013-09-20,626.19,
2013-09-21,76.339,
2013-09-22,0,
2013-09-23,844.399,
2013-09-24,661.814,
2013-09-25,782.901,
2013-09-26,630.833,
2013-09-27,459.869,
2013-09-28,116.88,
2013-09-29,0,
2013-09-30,0,
2013-10-01,628.792,
2013-10-02,594.121,
2013-10-03,533.567,
2013-10-04,584.06,
2013-10-05,73.04,
2013-10-06,0,
2013-10-07,713.973,
2013-10-08,675.238,
2013-10-09,707.231,
2013-10-10,671.664,
2013-10-11,724.499,
2013-10-12,82.47,
2013-10-13,0,
2013-10-14,915.729,
2013-10-15,648.675,
2013-10-16,734.08,
2013-10-17,574.47,
2013-10-18,591.016,
2013-10-19,72.423,
2013-10-20,0,
2013-10-21,793.977,
2013-10-22,645.696,
2013-10-23,622.627,
2013-10-24,495.956,
2013-10-25,578.961,
2013-10-26,50.723,
2013-10-27,0,
2013-10-28,745.519,
2013-10-29,475.187,
2013-10-30,470.364,
2013-10-31,0,
2013-11-01,508.175,
2013-11-02,41.272,
2013-11-03,0,
2013-11-04,509.709,
2013-11-05,498.403,
2013-11-06,508.589,
2013-11-07,444.766,
2013-11-08,376.456,
2013-11-09,56.596,
2013-11-10,0,
2013-11-11,722.8,
2013-11-12,611.105,
2013-11-13,640.544,
2013-11-14,682.375,
2013-11-15,576.947,
2013-11-16,76.33,
2013-11-17,0,
2013-11-18,892.675,
2013-11-19,873.274,
2013-11-20,894.898,
2013-11-21,841.515,
2013-11-22,812.948,
2013-11-23,113.107,
2013-11-24,0,
2013-11-25,1117.39,
2013-11-26,948.49,
2013-11-27,906.861,
2013-11-28,761.027,
2013-11-29,904.384,
2013-11-30,0,
2013-12-01,0,
2013-12-02,1179.738,
2013-12-03,1002.361,
2013-12-04,816.422,
2013-12-05,733.653,
2013-12-06,743.904,
2013-12-07,89.858,
2013-12-08,0,
2013-12-09,1111.255,
2013-12-10,814.283,
2013-12-11,668.325,
2013-12-12,538.276,
2013-12-13,784.298,
2013-12-14,92.762,
2013-12-15,0,
2013-12-16,866.372,
2013-12-17,841.068,
2013-12-18,917.852,
2013-12-19,881.165,
2013-12-20,946.05,
2013-12-21,124.707,
2013-12-22,0,
2013-12-23,1029.476,
2013-12-24,641.123,
2013-12-25,0,
2013-12-26,0,
2013-12-27,911.284,
2013-12-28,146.514,
2013-12-29,0,
2013-12-30,1255.444,
2013-12-31,0,
2014-01-01,0,
2014-01-02,1077.956,
2014-01-03,819.109,
2014-01-04,109.39,
2014-01-05,0,
2014-01-06,1118.136,
2014-01-07,2117.035,
2014-01-08,1907.759,
2014-01-09,982.562,
2014-01-10,775.215,
2014-01-11,142.052,
2014-01-12,0,
2014-01-13,1001.959,
2014-01-14,911.906,
2014-01-15,745.775,
2014-01-16,786.437,
2014-01-17,656.563,
2014-01-18,82.349,
2014-01-19,0,
2014-01-20,964.106,
2014-01-21,757.22,
2014-01-22,674.977,
2014-01-23,752.679,
2014-01-24,644.434,
2014-01-25,114.662,
2014-01-26,0,
2014-01-27,1110.659,
2014-01-28,907.289,
2014-01-29,798.119,
2014-01-30,720.518,
2014-01-31,0,
2014-02-01,148.54,
2014-02-02,0,
2014-02-03,1258.722,
2014-02-04,959.528,
2014-02-05,825.055,
2014-02-06,806.338,
2014-02-07,734.633,
2014-02-08,115.347,
2014-02-09,0,
2014-02-10,873.794,
2014-02-11,765.573,
2014-02-12,642.795,
2014-02-13,694.497,
2014-02-14,668.505,
2014-02-15,15.185,
2014-02-16,0,
2014-02-17,1077.188,
2014-02-18,870.823,
2014-02-19,807.031,
2014-02-20,843.392,
2014-02-21,712.222,
2014-02-22,120.563,
2014-02-23,0,
2014-02-24,1155.062,
2014-02-25,1144.014,
2014-02-26,960.422,
2014-02-27,746.835,
2014-02-28,0,
2014-03-01,121.516,
2014-03-02,0,
2014-03-03,965.967,
2014-03-04,836.541,
2014-03-05,873.842,
2014-03-06,996.437,
2014-03-07,839.064,
2014-03-08,114.572,
2014-03-09,0,
2014-03-10,945.387,
2014-03-11,998.452,
2014-03-12,751.469,
2014-03-13,655.728,
2014-03-14,626.063,
2014-03-15,89.82,
2014-03-16,0,
2014-03-17,1109.294,
2014-03-18,964.695,
2014-03-19,708.76,
2014-03-20,676.891,
2014-03-21,775.027,
2014-03-22,128.745,
2014-03-23,0,
2014-03-24,1273.228,
2014-03-25,1142.838,
2014-03-26,978.736,
2014-03-27,1004.719,
2014-03-28,697.235,
2014-03-29,98.955,
2014-03-30,0,
2014-03-31,0,
2014-04-01,1020.813,
2014-04-02,868.001,
2014-04-03,736.303,
2014-04-04,579.402,
2014-04-05,91.509,
2014-04-06,0,
2014-04-07,922.492,
2014-04-08,680.652,
2014-04-09,511.124,
2014-04-10,559.595,
2014-04-11,475.214,
2014-04-12,78.298,
2014-04-13,0,
2014-04-14,750.69,
2014-04-15,668.67,
2014-04-16,542.574,
2014-04-17,782.541,
2014-04-18,653.764,
2014-04-19,94.736,
2014-04-20,0,
2014-04-21,0,
2014-04-22,1416.858,
2014-04-23,953.879,
2014-04-24,966.203,
2014-04-25,871.033,
2014-04-26,0,
2014-04-27,0,
2014-04-28,966.765,
2014-04-29,878.635,
2014-04-30,0,
2014-05-01,773.246,
2014-05-02,636.327,
2014-05-03,71.443,
2014-05-04,0,
2014-05-05,593.311,
2014-05-06,780.243,
2014-05-07,809.752,
2014-05-08,656.398,
2014-05-09,514.677,
2014-05-10,82.69,
2014-05-11,0,
2014-05-12,943.771,
2014-05-13,948.979,
2014-05-14,760.056,
2014-05-15,712.279,
2014-05-16,567.873,
2014-05-17,12.159,
2014-05-18,0,
2014-05-19,887.469,
2014-05-20,841.038,
2014-05-21,811.431,
2014-05-22,870.29,
2014-05-23,637.867,
2014-05-24,79.891,
2014-05-25,0,
2014-05-26,963.559,
2014-05-27,985.801,
2014-05-28,913.3,
2014-05-29,0,
2014-05-30,700.322,
2014-05-31,0,
2014-06-01,0,
2014-06-02,1195.464,
2014-06-03,729.342,
2014-06-04,696.674,
2014-06-05,632.428,
2014-06-06,460.767,
2014-06-07,75.958,
2014-06-08,0,
2014-06-09,0,
2014-06-10,1094.577,
2014-06-11,605.778,
2014-06-12,774.599,
2014-06-13,627.365,
2014-06-14,85.673,
2014-06-15,0,
